EmployeeNumber,EmployeeName,Month,Year,BaseSalary,OvertimePay,Bonus,TotalCompensation
1,Allison Hill,1,2024,5993.0,568.74,0.0,6561.74
1,Allison Hill,2,2024,5993.0,454.58,0.0,6447.58
1,Allison Hill,3,2024,5993.0,595.89,276.58,6865.46
1,Allison Hill,4,2024,5993.0,753.27,0.0,6746.27
1,Allison Hill,5,2024,5993.0,,0.0,6430.34
1,Allison Hill,6,2024,5993.0,437.34,251.15,6681.49
1,Allison Hill,7,2024,5993.0,763.37,0.0,6756.37
1,Allison Hill,8,2024,5993.0,617.42,0.0,6610.42
1,Allison Hill,9,2024,5993.0,395.03,441.53,6829.57
1,Allison Hill,10,2024,5993.0,576.99,0.0,6569.99
1,Allison Hill,11,2024,5993.0,396.12,0.0,6389.12
1,Allison Hill,12,2024,5993.0,395.71,401.25,6789.95
1,Allison Hill,1,2025,5993.0,522.94,0.0,6515.94
1,Allison Hill,2,2025,5993.0,,0.0,5993.0
1,Allison Hill,3,2025,5993.0,0.0,297.13,6290.13
1,Allison Hill,4,2025,5993.0,135.45,0.0,6128.45
1,Allison Hill,5,2025,6379.39,180.23,0.0,6559.62
1,Allison Hill,6,2025,6379.39,402.74,547.41,7329.54
1,Allison Hill,7,2025,6379.39,316.51,0.0,6695.9
1,Allison Hill,8,2025,6379.39,570.49,0.0,6949.88
1,Allison Hill,9,2025,6379.39,336.57,386.83,7102.79
1,Allison Hill,10,2025,6379.39,240.06,0.0,6619.45
1,Allison Hill,11,2025,6379.39,790.85,0.0,7170.24
1,Allison Hill,12,2025,6379.39,467.14,302.95,7149.48
2,Noah Rhodes,1,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,2,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,3,2024,5130.0,0.0,735.62,5865.62
2,Noah Rhodes,4,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,5,2024,5130.0,420.79,0.0,5550.79
2,Noah Rhodes,6,2024,5130.0,0.0,988.9,6118.9
2,Noah Rhodes,7,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,8,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,9,2024,5130.0,0.0,747.01,5877.01
2,Noah Rhodes,10,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,11,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,12,2024,5130.0,0.0,731.7,5861.7
2,Noah Rhodes,1,2025,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,2,2025,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,3,2025,5439.05,0.0,590.51,6029.56
2,Noah Rhodes,4,2025,5439.05,0.0,0.0,5439.05
2,Noah Rhodes,5,2025,5439.05,,0.0,5439.05
2,Noah Rhodes,6,2025,5439.05,0.0,845.62,6284.67
2,Noah Rhodes,7,2025,5439.05,0.0,0.0,5439.05
2,Noah Rhodes,8,2025,5439.05,0.0,0.0,5439.05
2,Noah Rhodes,9,2025,5439.05,0.0,687.24,6126.3
2,Noah Rhodes,10,2025,5439.05,0.0,0.0,5439.05
2,Noah Rhodes,11,2025,5439.05,0.0,0.0,5439.05
2,Noah Rhodes,12,2025,5439.05,202.65,1080.28,6721.98
4,Angie Henderson,1,2024,2090.0,133.07,0.0,2223.07
4,Angie Henderson,2,2024,2090.0,174.15,0.0,2264.15
4,Angie Henderson,3,2024,2090.0,0.0,193.5,2283.5
4,Angie Henderson,4,2024,2090.0,95.03,0.0,2185.03
4,Angie Henderson,5,2024,2090.0,190.76,0.0,2280.76
4,Angie Henderson,6,2024,2090.0,129.54,198.28,2417.82
4,Angie Henderson,7,2024,2090.0,148.91,0.0,2238.91
4,Angie Henderson,8,2024,2090.0,129.47,0.0,2219.47
4,Angie Henderson,9,2024,2090.0,283.34,154.0,2527.33
4,Angie Henderson,10,2024,2090.0,166.35,0.0,2256.35
4,Angie Henderson,11,2024,2090.0,100.88,0.0,2190.88
4,Angie Henderson,12,2024,2090.0,0.0,133.68,2223.68
4,Angie Henderson,1,2025,2090.0,218.77,0.0,2308.77
4,Angie Henderson,2,2025,2090.0,,0.0,2090.0
4,Angie Henderson,3,2025,2090.0,90.65,95.0,2275.65
4,Angie Henderson,4,2025,2090.0,180.3,0.0,2270.3
4,Angie Henderson,5,2025,2090.0,44.33,0.0,2134.33
4,Angie Henderson,6,2025,2280.21,91.56,199.57,2571.34
4,Angie Henderson,7,2025,2280.21,195.88,0.0,2476.09
4,Angie Henderson,8,2025,2280.21,232.93,0.0,2513.14
4,Angie Henderson,9,2025,2280.21,194.14,227.49,2701.84
4,Angie Henderson,10,2025,2280.21,174.51,0.0,2454.71
4,Angie Henderson,11,2025,2280.21,,0.0,2280.21
4,Angie Henderson,12,2025,2280.21,0.0,92.78,2372.99
5,Daniel Wagner,1,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,2,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,3,2024,2909.0,0.0,175.73,3084.73
5,Daniel Wagner,4,2024,2909.0,206.44,0.0,3115.44
5,Daniel Wagner,5,2024,2909.0,103.69,0.0,3012.69
5,Daniel Wagner,6,2024,2909.0,169.9,242.39,3321.29
5,Daniel Wagner,7,2024,2909.0,192.52,0.0,3101.52
5,Daniel Wagner,8,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,9,2024,2909.0,0.0,204.97,3113.97
5,Daniel Wagner,10,2024,2909.0,324.98,0.0,3233.98
5,Daniel Wagner,11,2024,2909.0,262.71,0.0,3171.71
5,Daniel Wagner,12,2024,2909.0,0.0,204.97,3113.97
5,Daniel Wagner,1,2025,2909.0,78.86,0.0,2987.86
5,Daniel Wagner,2,2025,2909.0,261.0,0.0,3170.0
5,Daniel Wagner,3,2025,2909.0,199.11,282.78,3390.9
5,Daniel Wagner,4,2025,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,5,2025,3097.77,0.0,0.0,3097.77
5,Daniel Wagner,6,2025,3097.77,184.91,214.73,3497.41
5,Daniel Wagner,7,2025,3097.77,304.67,0.0,3402.44
5,Daniel Wagner,8,2025,3097.77,343.64,0.0,3441.41
5,Daniel Wagner,9,2025,3097.77,0.0,273.86,3371.63
5,Daniel Wagner,10,2025,3097.77,334.37,0.0,3432.14
5,Daniel Wagner,11,2025,3097.77,169.83,0.0,3267.6
5,Daniel Wagner,12,2025,3097.77,219.09,138.55,3455.4
7,Cristian Santos,1,2024,3468.0,,0.0,3779.9
7,Cristian Santos,2,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,3,2024,3468.0,0.0,165.44,3633.44
7,Cristian Santos,4,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,5,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,6,2024,3468.0,0.0,320.26,3788.26
7,Cristian Santos,7,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,8,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,9,2024,3468.0,0.0,290.6,3758.6
7,Cristian Santos,10,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,11,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,12,2024,3468.0,0.0,273.95,3741.95
7,Cristian Santos,1,2025,3468.0,0.0,0.0,3468.0
7,Cristian Santos,2,2025,3468.0,0.0,0.0,3468.0
7,Cristian Santos,3,2025,3468.0,0.0,185.48,3653.48
7,Cristian Santos,4,2025,3468.0,0.0,0.0,3468.0
7,Cristian Santos,5,2025,3860.5,0.0,0.0,3860.5
7,Cristian Santos,6,2025,3860.5,0.0,205.43,4065.93
7,Cristian Santos,7,2025,3860.5,421.82,0.0,4282.33
7,Cristian Santos,8,2025,3860.5,0.0,0.0,3860.5
7,Cristian Santos,9,2025,3860.5,0.0,364.14,4224.65
7,Cristian Santos,10,2025,3860.5,0.0,0.0,3860.5
7,Cristian Santos,11,2025,3860.5,253.34,0.0,4113.85
7,Cristian Santos,12,2025,3860.5,,309.38,4169.88
8,Connie Lawrence,1,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,2,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,3,2024,3068.0,0.0,167.45,3235.45
8,Connie Lawrence,4,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,5,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,6,2024,3068.0,228.35,244.03,3540.38
8,Connie Lawrence,7,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,8,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,9,2024,3068.0,0.0,132.69,3200.69
8,Connie Lawrence,10,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,11,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,12,2024,3068.0,143.61,256.77,3468.38
8,Connie Lawrence,1,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,2,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,3,2025,3436.47,0.0,248.03,3684.5
8,Connie Lawrence,4,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,5,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,6,2025,3436.47,0.0,317.77,3754.24
8,Connie Lawrence,7,2025,3436.47,151.6,0.0,3588.06
8,Connie Lawrence,8,2025,3436.47,,0.0,3436.47
8,Connie Lawrence,9,2025,3436.47,0.0,157.65,3594.11
8,Connie Lawrence,10,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,11,2025,3436.47,0.0,0.0,3436.47
8,Connie Lawrence,12,2025,3436.47,358.68,156.69,3951.84
10,Abigail Shaffer,1,2024,2670.0,,0.0,2992.23
10,Abigail Shaffer,2,2024,2670.0,207.83,0.0,2877.83
10,Abigail Shaffer,3,2024,2670.0,293.98,395.49,3359.48
10,Abigail Shaffer,4,2024,2670.0,242.57,0.0,2912.57
10,Abigail Shaffer,5,2024,2670.0,161.93,0.0,2831.93
10,Abigail Shaffer,6,2024,2670.0,0.0,351.97,3021.97
10,Abigail Shaffer,7,2024,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,8,2024,2670.0,242.55,0.0,2912.55
10,Abigail Shaffer,9,2024,2670.0,336.8,573.72,3580.52
10,Abigail Shaffer,10,2024,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,11,2024,2670.0,210.73,0.0,2880.73
10,Abigail Shaffer,12,2024,2670.0,338.93,316.6,3325.52
10,Abigail Shaffer,1,2025,2670.0,3.76,0.0,2673.76
10,Abigail Shaffer,2,2025,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,3,2025,2670.0,279.43,440.72,3390.15
10,Abigail Shaffer,4,2025,2670.0,220.57,0.0,2890.57
10,Abigail Shaffer,5,2025,2670.0,189.65,0.0,2859.65
10,Abigail Shaffer,6,2025,3098.08,256.38,496.75,3851.21
10,Abigail Shaffer,7,2025,3098.08,0.0,0.0,3098.08
10,Abigail Shaffer,8,2025,3098.08,63.12,0.0,3161.2
10,Abigail Shaffer,9,2025,3098.08,0.0,339.59,3437.67
10,Abigail Shaffer,10,2025,3098.08,227.43,0.0,3325.51
10,Abigail Shaffer,11,2025,3098.08,281.04,0.0,3379.12
10,Abigail Shaffer,12,2025,3098.08,385.21,397.25,3880.54
11,Gina Moore,1,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,2,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,3,2024,2693.0,173.57,295.79,3162.36
11,Gina Moore,4,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,5,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,6,2024,2693.0,0.0,353.57,3046.57
11,Gina Moore,7,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,8,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,9,2024,2693.0,0.0,311.59,3004.59
11,Gina Moore,10,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,11,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,12,2024,3157.29,0.0,670.26,3827.55
11,Gina Moore,1,2025,3157.29,176.0,0.0,3333.3
11,Gina Moore,2,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,3,2025,3157.29,0.0,353.61,3510.9
11,Gina Moore,4,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,5,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,6,2025,3157.29,0.0,447.96,3605.25
11,Gina Moore,7,2025,3157.29,205.06,0.0,3362.35
11,Gina Moore,8,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,9,2025,3157.29,0.0,481.75,3639.04
11,Gina Moore,10,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,11,2025,3157.29,0.0,0.0,3157.29
11,Gina Moore,12,2025,3157.29,0.0,621.52,3778.81
12,Gabrielle Davis,1,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,2,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,3,2024,9526.0,0.0,2025.91,11551.91
12,Gabrielle Davis,4,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,5,2024,9526.0,,0.0,9526.0
12,Gabrielle Davis,6,2024,9526.0,0.0,1585.0,11111.0
12,Gabrielle Davis,7,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,8,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,9,2024,9526.0,,1185.34,10711.34
12,Gabrielle Davis,10,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,11,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,12,2024,9526.0,0.0,1987.51,11513.51
12,Gabrielle Davis,1,2025,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,2,2025,9526.0,1023.68,0.0,10549.68
12,Gabrielle Davis,3,2025,9526.0,0.0,1268.88,10794.88
12,Gabrielle Davis,4,2025,10011.99,899.7,0.0,10911.69
12,Gabrielle Davis,5,2025,10011.99,0.0,0.0,10011.99
12,Gabrielle Davis,6,2025,10011.99,0.0,1315.92,11327.91
12,Gabrielle Davis,7,2025,10011.99,0.0,0.0,10011.99
12,Gabrielle Davis,8,2025,10011.99,0.0,0.0,10011.99
12,Gabrielle Davis,9,2025,10011.99,0.0,1012.82,11024.8
12,Gabrielle Davis,10,2025,10011.99,641.84,0.0,10653.83
12,Gabrielle Davis,11,2025,10011.99,0.0,0.0,10011.99
12,Gabrielle Davis,12,2025,10011.99,0.0,1656.69,11668.68
13,Ryan Munoz,1,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,2,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,3,2024,5237.0,499.6,324.06,6060.66
13,Ryan Munoz,4,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,5,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,6,2024,5237.0,434.21,321.91,5993.12
13,Ryan Munoz,7,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,8,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,9,2024,5237.0,0.0,385.41,5622.41
13,Ryan Munoz,10,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,11,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,12,2024,5237.0,0.0,500.37,5737.37
13,Ryan Munoz,1,2025,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,2,2025,5237.0,0.0,0.0,5237.0
