EmployeeNumber,EmployeeName,Month,Year,BaseSalary,OvertimePay,Bonus,TotalCompensation
1,Allison Hill,1,2024,5993.0,568.74,0.0,6561.74
1,Allison Hill,2,2024,5993.0,454.58,0.0,6447.58
1,Allison Hill,3,2024,5993.0,595.89,506.37,7095.25
1,Allison Hill,4,2024,5993.0,753.27,0.0,6746.27
1,Allison Hill,5,2024,5993.0,,0.0,6430.34
1,Allison Hill,6,2024,5993.0,437.34,506.37,6936.71
1,Allison Hill,7,2024,5993.0,763.37,0.0,6756.37
1,Allison Hill,8,2024,5993.0,617.42,0.0,6610.42
1,Allison Hill,9,2024,5993.0,395.03,506.37,6894.4
1,Allison Hill,10,2024,5993.0,576.99,0.0,6569.99
1,Allison Hill,11,2024,5993.0,396.12,0.0,6389.12
1,Allison Hill,12,2024,5993.0,395.71,506.37,6895.07
1,Allison Hill,1,2025,5993.0,0.0,0.0,5993.0
1,Allison Hill,2,2025,5993.0,,0.0,5993.0
1,Allison Hill,3,2025,5993.0,522.94,506.37,7022.31
1,Allison Hill,4,2025,5993.0,135.45,0.0,6128.45
1,Allison Hill,5,2025,6379.39,180.23,0.0,6559.62
1,Allison Hill,6,2025,6379.39,0.0,539.01,6918.4
1,Allison Hill,7,2025,6379.39,402.74,0.0,6782.13
1,Allison Hill,8,2025,6379.39,316.51,0.0,6695.9
1,Allison Hill,9,2025,6379.39,570.49,539.01,7488.89
1,Allison Hill,10,2025,6379.39,336.57,0.0,6715.96
1,Allison Hill,11,2025,6379.39,240.06,0.0,6619.45
1,Allison Hill,12,2025,6379.39,790.85,0.0,7170.24
2,Noah Rhodes,1,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,2,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,3,2024,5130.0,0.0,1023.58,6153.58
2,Noah Rhodes,4,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,5,2024,5130.0,375.65,0.0,5505.65
2,Noah Rhodes,6,2024,5130.0,0.0,1023.58,6153.58
2,Noah Rhodes,7,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,8,2024,5130.0,420.79,0.0,5550.79
2,Noah Rhodes,9,2024,5130.0,0.0,1023.58,6153.58
2,Noah Rhodes,10,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,11,2024,5130.0,0.0,0.0,5130.0
2,Noah Rhodes,12,2024,5754.66,0.0,1148.22,6902.87
2,Noah Rhodes,1,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,2,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,3,2025,5754.66,0.0,1148.22,6902.87
2,Noah Rhodes,4,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,5,2025,5754.66,,0.0,5754.66
2,Noah Rhodes,6,2025,5754.66,0.0,1148.22,6902.87
2,Noah Rhodes,7,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,8,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,9,2025,5754.66,0.0,1148.22,6902.87
2,Noah Rhodes,10,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,11,2025,5754.66,0.0,0.0,5754.66
2,Noah Rhodes,12,2025,5754.66,0.0,1148.22,6902.87
4,Angie Henderson,1,2024,2090.0,77.87,0.0,2167.87
4,Angie Henderson,2,2024,2090.0,0.0,0.0,2090.0
4,Angie Henderson,3,2024,2090.0,133.07,0.0,2223.07
4,Angie Henderson,4,2024,2090.0,0.0,0.0,2090.0
4,Angie Henderson,5,2024,2090.0,174.15,0.0,2264.15
4,Angie Henderson,6,2024,2090.0,95.03,0.0,2185.03
4,Angie Henderson,7,2024,2090.0,190.76,0.0,2280.76
4,Angie Henderson,8,2024,2090.0,129.54,0.0,2219.54
4,Angie Henderson,9,2024,2090.0,148.91,111.14,2350.05
4,Angie Henderson,10,2024,2090.0,0.0,0.0,2090.0
4,Angie Henderson,11,2024,2090.0,129.47,0.0,2219.47
4,Angie Henderson,12,2024,2090.0,283.34,111.14,2484.48
4,Angie Henderson,1,2025,2090.0,166.35,0.0,2256.35
4,Angie Henderson,2,2025,2090.0,,0.0,2190.88
4,Angie Henderson,3,2025,2090.0,218.77,111.14,2419.91
4,Angie Henderson,4,2025,2090.0,90.65,0.0,2180.65
4,Angie Henderson,5,2025,2381.47,205.44,0.0,2586.91
4,Angie Henderson,6,2025,2381.47,0.0,126.64,2508.11
4,Angie Henderson,7,2025,2381.47,50.51,0.0,2431.98
4,Angie Henderson,8,2025,2381.47,0.0,0.0,2381.47
4,Angie Henderson,9,2025,2381.47,0.0,126.64,2508.11
4,Angie Henderson,10,2025,2381.47,95.63,0.0,2477.1
4,Angie Henderson,11,2025,2381.47,,0.0,2586.06
4,Angie Henderson,12,2025,2381.47,243.28,126.64,2751.39
5,Daniel Wagner,1,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,2,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,3,2024,2909.0,247.68,208.71,3365.39
5,Daniel Wagner,4,2024,2909.0,222.63,0.0,3131.63
5,Daniel Wagner,5,2024,2909.0,206.44,0.0,3115.44
5,Daniel Wagner,6,2024,2909.0,103.69,208.71,3221.4
5,Daniel Wagner,7,2024,2909.0,169.9,0.0,3078.9
5,Daniel Wagner,8,2024,2909.0,192.52,0.0,3101.52
5,Daniel Wagner,9,2024,2909.0,324.98,0.0,3233.98
5,Daniel Wagner,10,2024,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,11,2024,2909.0,262.71,0.0,3171.71
5,Daniel Wagner,12,2024,2909.0,78.86,208.71,3196.57
5,Daniel Wagner,1,2025,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,2,2025,2909.0,0.0,0.0,2909.0
5,Daniel Wagner,3,2025,2909.0,261.0,208.71,3378.71
5,Daniel Wagner,4,2025,3431.15,234.85,0.0,3666.01
5,Daniel Wagner,5,2025,3431.15,204.81,0.0,3635.97
5,Daniel Wagner,6,2025,3431.15,0.0,246.17,3677.33
5,Daniel Wagner,7,2025,3431.15,0.0,0.0,3431.15
5,Daniel Wagner,8,2025,3431.15,337.45,0.0,3768.61
5,Daniel Wagner,9,2025,3431.15,380.62,246.17,4057.95
5,Daniel Wagner,10,2025,3431.15,370.35,0.0,3801.51
5,Daniel Wagner,11,2025,3431.15,0.0,0.0,3431.15
5,Daniel Wagner,12,2025,3431.15,0.0,0.0,3431.15
7,Cristian Santos,1,2024,3468.0,,0.0,3468.0
7,Cristian Santos,2,2024,3468.0,190.13,0.0,3658.13
7,Cristian Santos,3,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,4,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,5,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,6,2024,3468.0,0.0,188.84,3656.84
7,Cristian Santos,7,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,8,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,9,2024,3468.0,0.0,188.84,3656.84
7,Cristian Santos,10,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,11,2024,3468.0,0.0,0.0,3468.0
7,Cristian Santos,12,2024,3468.0,0.0,188.84,3656.84
7,Cristian Santos,1,2025,3468.0,0.0,0.0,3468.0
7,Cristian Santos,2,2025,3749.35,0.0,0.0,3749.35
7,Cristian Santos,3,2025,3749.35,0.0,204.16,3953.52
7,Cristian Santos,4,2025,3749.35,0.0,0.0,3749.35
7,Cristian Santos,5,2025,3749.35,0.0,0.0,3749.35
7,Cristian Santos,6,2025,3749.35,0.0,204.16,3953.52
7,Cristian Santos,7,2025,3749.35,265.17,0.0,4014.52
7,Cristian Santos,8,2025,3749.35,0.0,0.0,3749.35
7,Cristian Santos,9,2025,3749.35,0.0,204.16,3953.52
7,Cristian Santos,10,2025,3749.35,0.0,0.0,3749.35
7,Cristian Santos,11,2025,3749.35,337.21,0.0,4086.56
7,Cristian Santos,12,2025,3749.35,,204.16,4363.19
8,Connie Lawrence,1,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,2,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,3,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,4,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,5,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,6,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,7,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,8,2024,3068.0,201.34,0.0,3269.34
8,Connie Lawrence,9,2024,3068.0,0.0,166.53,3234.53
8,Connie Lawrence,10,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,11,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,12,2024,3068.0,0.0,0.0,3068.0
8,Connie Lawrence,1,2025,3068.0,228.35,0.0,3296.35
8,Connie Lawrence,2,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,3,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,4,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,5,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,6,2025,3249.66,0.0,176.39,3426.05
8,Connie Lawrence,7,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,8,2025,3249.66,,0.0,3249.66
8,Connie Lawrence,9,2025,3249.66,0.0,176.39,3426.05
8,Connie Lawrence,10,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,11,2025,3249.66,0.0,0.0,3249.66
8,Connie Lawrence,12,2025,3249.66,152.12,0.0,3401.78
10,Abigail Shaffer,1,2024,2670.0,,0.0,2670.0
10,Abigail Shaffer,2,2024,2670.0,117.78,0.0,2787.78
10,Abigail Shaffer,3,2024,2670.0,278.68,296.88,3245.56
10,Abigail Shaffer,4,2024,2670.0,322.23,0.0,2992.23
10,Abigail Shaffer,5,2024,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,6,2024,2670.0,0.0,296.88,2966.88
10,Abigail Shaffer,7,2024,2670.0,207.83,0.0,2877.83
10,Abigail Shaffer,8,2024,2670.0,293.98,0.0,2963.98
10,Abigail Shaffer,9,2024,2670.0,242.57,296.88,3209.45
10,Abigail Shaffer,10,2024,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,11,2024,2670.0,0.0,0.0,2670.0
10,Abigail Shaffer,12,2024,2670.0,161.93,296.88,3128.81
10,Abigail Shaffer,1,2025,2670.0,242.55,0.0,2912.55
10,Abigail Shaffer,2,2025,2670.0,336.8,0.0,3006.8
10,Abigail Shaffer,3,2025,2670.0,0.0,296.88,2966.88
10,Abigail Shaffer,4,2025,2670.0,210.73,0.0,2880.73
10,Abigail Shaffer,5,2025,2670.0,338.93,0.0,3008.93
10,Abigail Shaffer,6,2025,2808.62,3.95,312.3,3124.87
10,Abigail Shaffer,7,2025,2808.62,293.94,0.0,3102.56
10,Abigail Shaffer,8,2025,2808.62,232.02,0.0,3040.65
10,Abigail Shaffer,9,2025,2808.62,199.5,312.3,3320.41
10,Abigail Shaffer,10,2025,2808.62,232.42,0.0,3041.04
10,Abigail Shaffer,11,2025,2808.62,57.22,0.0,2865.84
10,Abigail Shaffer,12,2025,2808.62,206.18,312.3,3327.1
11,Gina Moore,1,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,2,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,3,2024,2693.0,244.29,544.86,3482.16
11,Gina Moore,4,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,5,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,6,2024,2693.0,0.0,544.86,3237.86
11,Gina Moore,7,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,8,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,9,2024,2693.0,0.0,544.86,3237.86
11,Gina Moore,10,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,11,2024,2693.0,0.0,0.0,2693.0
11,Gina Moore,12,2024,2693.0,0.0,544.86,3237.86
11,Gina Moore,1,2025,2693.0,0.0,0.0,2693.0
11,Gina Moore,2,2025,2693.0,0.0,0.0,2693.0
11,Gina Moore,3,2025,3003.69,0.0,607.73,3611.42
11,Gina Moore,4,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,5,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,6,2025,3003.69,0.0,607.73,3611.42
11,Gina Moore,7,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,8,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,9,2025,3003.69,0.0,607.73,3611.42
11,Gina Moore,10,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,11,2025,3003.69,0.0,0.0,3003.69
11,Gina Moore,12,2025,3003.69,0.0,607.73,3611.42
12,Gabrielle Davis,1,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,2,2024,9526.0,1184.43,0.0,10710.43
12,Gabrielle Davis,3,2024,9526.0,0.0,1662.66,11188.66
12,Gabrielle Davis,4,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,5,2024,9526.0,,0.0,9526.0
12,Gabrielle Davis,6,2024,9526.0,0.0,1662.66,11188.66
12,Gabrielle Davis,7,2024,9526.0,613.97,0.0,10139.97
12,Gabrielle Davis,8,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,9,2024,9526.0,,1662.66,11188.66
12,Gabrielle Davis,10,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,11,2024,9526.0,0.0,0.0,9526.0
12,Gabrielle Davis,12,2024,10013.84,0.0,1747.81,11761.64
12,Gabrielle Davis,1,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,2,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,3,2025,10013.84,0.0,1747.81,11761.64
12,Gabrielle Davis,4,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,5,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,6,2025,10013.84,0.0,1747.81,11761.64
12,Gabrielle Davis,7,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,8,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,9,2025,10013.84,0.0,1747.81,11761.64
12,Gabrielle Davis,10,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,11,2025,10013.84,0.0,0.0,10013.84
12,Gabrielle Davis,12,2025,10013.84,0.0,1747.81,11761.64
13,Ryan Munoz,1,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,2,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,3,2024,5237.0,0.0,434.97,5671.97
13,Ryan Munoz,4,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,5,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,6,2024,5237.0,291.94,434.97,5963.91
13,Ryan Munoz,7,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,8,2024,5237.0,340.13,0.0,5577.13
13,Ryan Munoz,9,2024,5237.0,0.0,434.97,5671.97
13,Ryan Munoz,10,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,11,2024,5237.0,0.0,0.0,5237.0
13,Ryan Munoz,12,2024,5237.0,0.0,434.97,5671.97
13,Ryan Munoz,1,2025,5237.0,562.78,0.0,5799.78
13,Ryan Munoz,2,2025,5910.62,531.14,0.0,6441.77
